order_id,customer_id,order_date,order_ts,channel,order_status,shipping_cost
90001,5125,2024-01-01,2024-01-01 15:39:41,Mobile App,COMPLETED,4.99
90002,5711,2024-01-01,2024-01-01 22:42:29,Mobile App,COMPLETED,0.00
90003,5269,2024-01-01,2024-01-01 19:13:18,Web,RETURNED,4.99
90004,6415,2024-01-01,2024-01-01 09:15:13,Marketplace,COMPLETED,6.99
90005,6141,2024-01-01,2024-01-01 04:54:44,Web,COMPLETED,0.00
90006,6790,2024-01-01,2024-01-01 03:52:35,Mobile App,COMPLETED,0.00
90007,5086,2024-01-01,2024-01-01 16:31:46,Mobile App,COMPLETED,6.99
90008,6783,2024-01-01,2024-01-01 07:53:51,Web,RETURNED,4.99
90009,5971,2024-01-01,2024-01-01 04:48:48,Web,COMPLETED,4.99
90010,6085,2024-01-01,2024-01-01 00:45:51,Mobile App,COMPLETED,0.00
90011,6060,2024-01-01,2024-01-01 20:09:57,Web,COMPLETED,8.99
90012,6177,2024-01-01,2024-01-01 17:39:50,Web,COMPLETED,0.00
90013,6267,2024-01-01,2024-01-01 01:34:21,Marketplace,COMPLETED,4.99
90014,5799,2024-01-01,2024-01-01 18:16:15,Marketplace,COMPLETED,8.99
90015,6705,2024-01-01,2024-01-01 18:47:00,Web,COMPLETED,6.99
90016,5929,2024-01-01,2024-01-01 10:33:37,Web,COMPLETED,0.00
90017,5395,2024-01-01,2024-01-01 15:13:28,Web,COMPLETED,4.99
90018,5160,2024-01-01,2024-01-01 23:26:52,Web,RETURNED,0.00
90019,5334,2024-01-01,2024-01-01 06:29:30,Web,COMPLETED,8.99
90020,5067,2024-01-01,2024-01-01 18:18:02,Marketplace,COMPLETED,6.99
90021,6071,2024-01-01,2024-01-01 13:03:59,Web,COMPLETED,8.99
90022,5581,2024-01-02,2024-01-02 18:19:36,Web,COMPLETED,6.99
90023,5927,2024-01-02,2024-01-02 02:51:39,Web,COMPLETED,6.99
90024,6361,2024-01-02,2024-01-02 08:41:05,Mobile App,COMPLETED,8.99
90025,6774,2024-01-02,2024-01-02 01:36:33,Web,COMPLETED,0.00
90026,5388,2024-01-02,2024-01-02 06:15:53,Mobile App,COMPLETED,0.00
90027,6446,2024-01-02,2024-01-02 10:27:11,Mobile App,COMPLETED,4.99
90028,5850,2024-01-02,2024-01-02 19:20:11,Web,COMPLETED,0.00
90029,5056,2024-01-02,2024-01-02 01:12:15,Marketplace,COMPLETED,4.99
90030,6541,2024-01-02,2024-01-02 07:58:56,Mobile App,COMPLETED,0.00
90031,5039,2024-01-02,2024-01-02 04:23:34,Web,COMPLETED,0.00
90032,5345,2024-01-02,2024-01-02 00:03:59,Web,COMPLETED,4.99
90033,5988,2024-01-02,2024-01-02 02:25:44,Web,COMPLETED,6.99
90034,5252,2024-01-02,2024-01-02 22:28:17,Web,RETURNED,0.00
90035,5504,2024-01-02,2024-01-02 20:04:34,Marketplace,COMPLETED,8.99
90036,5064,2024-01-02,2024-01-02 22:00:07,Marketplace,COMPLETED,0.00
90037,5948,2024-01-02,2024-01-02 08:31:57,Web,COMPLETED,0.00
90038,6442,2024-01-02,2024-01-02 21:43:38,Marketplace,COMPLETED,0.00
90039,6158,2024-01-02,2024-01-02 23:50:17,Web,COMPLETED,8.99
90040,5393,2024-01-02,2024-01-02 13:41:43,Marketplace,COMPLETED,4.99
90041,6332,2024-01-02,2024-01-02 12:12:21,Web,COMPLETED,0.00
90042,5168,2024-01-02,2024-01-02 20:40:06,Mobile App,COMPLETED,4.99
90043,5058,2024-01-02,2024-01-02 15:15:21,Mobile App,COMPLETED,0.00
90044,6705,2024-01-02,2024-01-02 04:03:58,Web,COMPLETED,0.00
90045,6644,2024-01-02,2024-01-02 12:06:39,Mobile App,COMPLETED,6.99
90046,6541,2024-01-02,2024-01-02 19:06:21,Mobile App,COMPLETED,8.99
90047,6334,2024-01-02,2024-01-02 20:32:16,Marketplace,COMPLETED,0.00
90048,5728,2024-01-02,2024-01-02 13:32:41,Mobile App,COMPLETED,8.99
90049,6545,2024-01-02,2024-01-02 00:33:37,Web,COMPLETED,6.99
90050,5297,2024-01-03,2024-01-03 06:50:04,Web,RETURNED,8.99
90051,5700,2024-01-03,2024-01-03 01:31:14,Web,COMPLETED,6.99
90052,5008,2024-01-03,2024-01-03 23:24:13,Marketplace,RETURNED,6.99
90053,5820,2024-01-03,2024-01-03 08:46:11,Web,COMPLETED,0.00
90054,5696,2024-01-03,2024-01-03 12:41:50,Mobile App,COMPLETED,4.99
90055,5228,2024-01-03,2024-01-03 06:34:24,Web,COMPLETED,0.00
90056,6423,2024-01-03,2024-01-03 09:50:09,Web,COMPLETED,8.99
90057,5672,2024-01-03,2024-01-03 23:05:50,Web,COMPLETED,4.99
90058,5964,2024-01-03,2024-01-03 15:45:31,Marketplace,COMPLETED,0.00
90059,5971,2024-01-03,2024-01-03 18:10:59,Web,COMPLETED,6.99
90060,6726,2024-01-03,2024-01-03 01:29:32,Web,COMPLETED,0.00
90061,6273,2024-01-03,2024-01-03 14:14:16,Web,COMPLETED,4.99
90062,6322,2024-01-03,2024-01-03 07:06:07,Web,COMPLETED,0.00
90063,5147,2024-01-03,2024-01-03 08:12:45,Web,COMPLETED,8.99
90064,6238,2024-01-03,2024-01-03 23:13:30,Web,COMPLETED,0.00
90065,5479,2024-01-03,2024-01-03 14:28:54,Mobile App,COMPLETED,0.00
90066,6144,2024-01-03,2024-01-03 10:14:26,Web,COMPLETED,6.99
90067,5872,2024-01-03,2024-01-03 20:51:38,Marketplace,CANCELLED,8.99
