order_item_id,order_id,product_id,quantity,unit_price,discount_amount
700001,90001,1010,1,24.00,0.00
700002,90002,1002,1,72.00,0.00
700003,90002,1006,2,30.00,0.00
700004,90003,1006,2,30.00,0.00
700005,90004,1009,1,26.00,0.00
700006,90005,1006,1,30.00,0.00
700007,90005,1013,2,8.00,0.00
700008,90005,1002,1,72.00,0.00
700009,90005,1018,2,32.30,3.40
700010,90006,1001,2,61.75,6.50
700011,90006,1018,3,32.30,5.10
700012,90007,1015,2,32.00,0.00
700013,90008,1008,1,45.00,0.00
700014,90009,1002,1,72.00,0.00
700015,90010,1002,2,68.40,7.20
700016,90010,1017,1,14.40,1.60
700017,90011,1008,1,45.00,0.00
700018,90012,1018,2,30.60,6.80
700019,90012,1008,1,42.75,2.25
700020,90012,1013,1,7.60,0.40
700021,90012,1017,1,16.00,0.00
700022,90013,1008,1,42.75,2.25
700023,90014,1017,1,16.00,0.00
700024,90014,1009,1,26.00,0.00
700025,90015,1016,1,28.00,0.00
700026,90015,1013,1,8.00,0.00
700027,90016,1015,1,30.40,1.60
700028,90016,1013,1,8.00,0.00
700029,90016,1008,1,45.00,0.00
700030,90017,1002,1,72.00,0.00
700031,90018,1007,2,36.10,3.80
700032,90018,1010,3,24.00,0.00
700033,90019,1010,3,24.00,0.00
700034,90020,1011,1,28.50,1.50
700035,90021,1006,1,30.00,0.00
700036,90022,1012,1,14.00,0.00
700037,90023,1007,1,36.10,1.90
700038,90023,1010,1,24.00,0.00
700039,90024,1006,1,27.00,3.00
700040,90025,1011,1,30.00,0.00
700041,90025,1003,1,95.00,0.00
700042,90026,1003,1,85.50,9.50
700043,90027,1014,1,18.00,0.00
700044,90028,1006,1,30.00,0.00
700045,90028,1001,1,65.00,0.00
700046,90029,1006,1,30.00,0.00
700047,90030,1010,1,24.00,0.00
700048,90030,1002,1,72.00,0.00
700049,90031,1009,2,26.00,0.00
700050,90031,1003,1,90.25,4.75
700051,90032,1008,1,45.00,0.00
700052,90033,1013,1,8.00,0.00
700053,90033,1010,1,22.80,1.20
700054,90034,1018,1,34.00,0.00
700055,90034,1015,2,32.00,0.00
700056,90035,1006,1,30.00,0.00
700057,90035,1014,1,18.00,0.00
700058,90035,1017,1,15.20,0.80
700059,90036,1004,1,110.00,0.00
700060,90037,1006,1,30.00,0.00
700061,90037,1016,1,28.00,0.00
700062,90037,1007,1,38.00,0.00
700063,90038,1004,1,110.00,0.00
700064,90038,1006,1,30.00,0.00
700065,90039,1001,1,65.00,0.00
700066,90040,1017,1,16.00,0.00
700067,90041,1008,1,45.00,0.00
700068,90041,1010,1,24.00,0.00
700069,90041,1012,2,14.00,0.00
700070,90042,1016,1,25.20,2.80
700071,90043,1004,2,104.50,11.00
700072,90044,1009,1,26.00,0.00
700073,90044,1005,1,28.00,0.00
700074,90044,1018,1,32.30,1.70
700075,90045,1013,1,8.00,0.00
700076,90046,1010,1,24.00,0.00
700077,90047,1006,1,30.00,0.00
